OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
225 E 28TH ST,225 East 28th Street,http://streeteasy.com/building/225-east-28-street-brooklyn,,0,,,0,,,0,,,0,,
227 E 28TH ST,227 East 28th Street,http://streeteasy.com/building/227-east-28-street-manhattan,"Owned by: 227 EAST 28TH STREET,",0,,,0,,,0,,,0,,
236 E 28TH ST,236 East 28th Street,http://streeteasy.com/building/236-east-28-street-brooklyn,Owned by: 236 E 28 ST REALTY CO,1475,"#4C - 236 East 28th Street
$1,475   3 rooms, 1 bed 1 bath",http://streeteasy.com/building/236-east-28-street-brooklyn/4c,0,,,0,,,0,,
237 E 28TH ST,,http://streeteasy.com/building/237-east-28-street-manhattan,Owned by: ANIDA REALTY LLC,0,,,0,,,0,,,0,,
239 E 28TH ST,239 East 28th Street,http://streeteasy.com/building/239-east-28-street-manhattan,Owned by: RICHMOND ASSOCIATES,0,,,0,,,0,,,0,,
240 E 28TH ST,,http://streeteasy.com/building/240-east-28-street-new_york,"Owned by: 240 DANIELS FAMILY, L",0,,,0,,,0,,,0,,
242 E 28TH ST,242 East 28th Street,http://streeteasy.com/building/242-east-28-street-brooklyn,"Owned by: VAN WYCK PROPERTIES,",0,,,0,,,0,,,0,,
244 E 28TH ST,1244 East 28th Street,http://streeteasy.com/building/1244-east-28-street-brooklyn,Owned by: FIRESTONE EZRA,0,,,0,,,0,,,0,,
247 E 28TH ST,The Grayson,http://streeteasy.com/building/the-grayson,,5395,"#8F - 247 East 28th Street

Open House: Wed, May 3 (5:00 PM - 7:00 PM)   ADD TO PLANNER $5,395   NO FEE 6 rooms, 3 beds 1 bath",http://streeteasy.com/building/the-grayson/8f,3945,"#3B - 247 East 28th Street

Open House: Wed, May 3 (5:00 PM - 7:00 PM)   ADD TO PLANNER $3,945   NO FEE 4 rooms, 2 beds 1 bath",http://streeteasy.com/building/the-grayson/3b,0,,,0,,
4 E 28TH ST,28 East 4th Street,http://streeteasy.com/building/28-east-4-street-brooklyn,"Owned by: ZVI, ITAY BEN",0,,,0,,,0,,,0,,
