OriginalAddress,ChosenAddress,Url,Owner,AveragePricingInfo,ActiveListingsUrl,PastSalesUrl,PastRentalUrl,UnitsAvaliableRightNow
249 E 52ND  Manhattan,,http://streeteasy.com/building/249-east-52-street-manhattan,Owned by: 249 EAST,"22 previous rentals ($46 per ft² avg, $2,625 avg price)",,/nyc/property_activity/past_transactions_component/847158?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847158?hide_header=true&show_rentals=true,0
251 E 52ND  Manhattan,,http://streeteasy.com/building/985-2-avenue-manhattan,Owned by: 251 E 52 ASSOCIATES L,"Rentals Listings 1 active rental ($2,600 avg price)",,/nyc/property_activity/past_transactions_component/847159?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847159?hide_header=true&show_rentals=true,2
252 E 52ND  Manhattan,,http://streeteasy.com/building/981-2-avenue-manhattan,Owned by: KERRY GROUP CORPORATI,"Rentals Listings 2 active rentals ($3,350 avg price)",,/nyc/property_activity/past_transactions_component/847083?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847083?hide_header=true&show_rentals=true,3
253 E 52ND  Manhattan,,http://streeteasy.com/building/985-2-avenue-manhattan,Owned by: 251 E 52 ASSOCIATES L,"Rentals Listings 1 active rental ($2,600 avg price)",,/nyc/property_activity/past_transactions_component/847159?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847159?hide_header=true&show_rentals=true,2
311 E 52ND  Manhattan,,http://streeteasy.com/building/311-east-52-street-manhattan,"Owned by: TAWAU, LLC","22 previous rentals ($2,928 avg price)",,/nyc/property_activity/past_transactions_component/849661?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849661?hide_header=true&show_rentals=true,0
320 E 52ND  Manhattan,,http://streeteasy.com/building/320-east-52-street-new_york,"Owned by: STELLAR SUTTON, LLC","Rentals Listings 1 active rental ($3,350 avg price)",,/nyc/property_activity/past_transactions_component/849447?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849447?hide_header=true&show_rentals=true,2
321 E 52ND  Manhattan,,http://streeteasy.com/building/321-east-52-street-manhattan,"Owned by: MERTZ PROPERTIES, LLC","11 previous rentals ($42 per ft² avg, $1,877 avg price)",,/nyc/property_activity/past_transactions_component/849662?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849662?hide_header=true&show_rentals=true,0
328 E 52ND  Manhattan,,http://streeteasy.com/building/328-east-52-street-manhattan,Owned by: HABITAT ASSOCIATES LL,"Rentals Listings 1 active rental ($2,950 avg price)",,/nyc/property_activity/past_transactions_component/849445?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849445?hide_header=true&show_rentals=true,2
330 E 52ND  Manhattan,,http://streeteasy.com/building/330-east-52-street-manhattan,Owned by: HABITAT ASSOCIATES LL,"85 previous rentals ($47 per ft² avg, $2,857 avg price)",,/nyc/property_activity/past_transactions_component/849444?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849444?hide_header=true&show_rentals=true,0
331 E 52ND  Manhattan,,http://streeteasy.com/building/331-east-52-street-manhattan,Owned by: BROADVIEW CONSULTANTS,"1 previous sale ($4,500,000 avg price)",,/nyc/property_activity/past_transactions_component/849663?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849663?hide_header=true&show_rentals=true,0
340 E 52ND  Manhattan,,http://streeteasy.com/building/rockefeller-court,Owned by: NEW YORK APARTMENT PO,"Rentals Listings 1 active rental ($3,495 avg price)",,/nyc/property_activity/past_transactions_component/849443?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849443?hide_header=true&show_rentals=true,2
350 E 52ND  Manhattan,,http://streeteasy.com/building/939-1-avenue-new_york,Owned by: 939 FIRST AVENUE,"Rentals Listings 1 active rental ($3,667 avg price)",,/nyc/property_activity/past_transactions_component/849442?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849442?hide_header=true&show_rentals=true,2
397 E 52ND  Manhattan,,http://streeteasy.com/building/946-1-avenue-new_york,Owned by: EL-KAM REALTY CO,,,/nyc/property_activity/past_transactions_component/850411?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850411?hide_header=true&show_rentals=true,0
398 E 52ND  Manhattan,,http://streeteasy.com/building/944-1-avenue-new_york,Owned by: GOLDEN REALTY II,"18 previous rentals ($24 per ft² avg, $2,543 avg price)",,/nyc/property_activity/past_transactions_component/850403?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850403?hide_header=true&show_rentals=true,0
400 E 52ND  Manhattan,,http://streeteasy.com/building/400-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"Sales Listings 4 active sales ($1,145 per ft² avg, $1,735,000 avg price)",,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_rentals=true,5
404 E 52ND  Manhattan,,http://streeteasy.com/building/400-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"Sales Listings 4 active sales ($1,145 per ft² avg, $1,735,000 avg price)",,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_rentals=true,5
405 E 52ND  Manhattan,,http://streeteasy.com/building/399-east-52-street-new_york,,,,/nyc/property_activity/past_transactions_component/8297287?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8297287?hide_header=true&show_rentals=true,0
406 E 52ND  Manhattan,,http://streeteasy.com/building/400-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"Sales Listings 4 active sales ($1,145 per ft² avg, $1,735,000 avg price)",,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_rentals=true,5
407 E 52ND  Manhattan,,http://streeteasy.com/building/399-east-52-street-new_york,,,,/nyc/property_activity/past_transactions_component/8297287?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8297287?hide_header=true&show_rentals=true,0
408 E 52ND  Manhattan,,http://streeteasy.com/building/400-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"Sales Listings 4 active sales ($1,145 per ft² avg, $1,735,000 avg price)",,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_rentals=true,5
409 E 52ND  Manhattan,,http://streeteasy.com/building/399-east-52-street-new_york,,,,/nyc/property_activity/past_transactions_component/8297287?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8297287?hide_header=true&show_rentals=true,0
410 E 52ND  Manhattan,,http://streeteasy.com/building/400-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"Sales Listings 4 active sales ($1,145 per ft² avg, $1,735,000 avg price)",,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850402?hide_header=true&show_rentals=true,5
411 E 52ND  Manhattan,,http://streeteasy.com/search?utf8=%E2%9C%93&search=411%20E%2052ND%20%20Manhattan,,,,,,0
412 E 52ND  Manhattan,,http://streeteasy.com/building/414-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"85 previous sales ($810 per ft² avg, $838,304 avg price)",,/nyc/property_activity/past_transactions_component/850401?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850401?hide_header=true&show_rentals=true,0
413 E 52ND  Manhattan,,http://streeteasy.com/building/the-sutton-house,Owned by: SUTTON HOUSE INC,"Sales Listings 4 active sales ($970 per ft² avg, $1,342,500 avg price)",,/nyc/property_activity/past_transactions_component/850414?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850414?hide_header=true&show_rentals=true,5
414 E 52ND  Manhattan,,http://streeteasy.com/building/414-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"85 previous sales ($810 per ft² avg, $838,304 avg price)",,/nyc/property_activity/past_transactions_component/850401?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850401?hide_header=true&show_rentals=true,0
415 E 52ND  Manhattan,,http://streeteasy.com/building/the-sutton-house,Owned by: SUTTON HOUSE INC,"Sales Listings 4 active sales ($970 per ft² avg, $1,342,500 avg price)",,/nyc/property_activity/past_transactions_component/850414?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850414?hide_header=true&show_rentals=true,5
414 E 52ND  Manhattan,,http://streeteasy.com/building/414-east-52-street-new_york,Owned by: SOUTHGATE OWNERS CORP,"85 previous sales ($810 per ft² avg, $838,304 avg price)",,/nyc/property_activity/past_transactions_component/850401?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850401?hide_header=true&show_rentals=true,0
