OriginalAddress,ChosenAddress,Url,Owner,AvaliableUnitDetails,AvaliableUnitUrl,AvaliableUnitDetails,AvaliableUnitUrl,AvaliableUnitDetails,AvaliableUnitUrl
364 3RD AVE,,http://streeteasy.com/building/364-3-avenue-new_york,Owned by: Itzhaki Acquisitions and Continental Ventures,"#9 - 364 3rd Avenue
$3,900  2 beds 2 baths",http://streeteasy.com/building/364-3-avenue-new_york/9,"#21 - 364 Third Avenue
$3,100   2 beds 2 baths",http://streeteasy.com/building/364-3-avenue-new_york/rental/2039619,"#21 - 364 Third Avenue
$3,100   4 rooms, 2 beds 2 baths",http://streeteasy.com/building/364-3-avenue-new_york/rental/2061996
365 3RD AVE,365 Third Avenue,http://streeteasy.com/building/365-3-avenue-manhattan,Owned by: ANIRAM REALTY CORP.,,,,,,
385 3RD AVE,,http://streeteasy.com/building/385-3-avenue-new_york,No previous listings or recorded sales for this building.,,,,,,
386 3RD AVE,386 Third Avenue,http://streeteasy.com/building/386-3-avenue-manhattan,Owned by: JEROME WEINRIB FAMILY,,,,,,
387 3RD AVE,,http://streeteasy.com/building/385-3-avenue-new_york,No previous listings or recorded sales for this building.,,,,,,
396 3RD AVE,396 Third Avenue,http://streeteasy.com/building/396-3-avenue-manhattan,"Owned by: POLPOONPIPAT, VIRACHA",,,,,,
398 3RD AVE,398 Third Avenue,http://streeteasy.com/building/398-3-avenue-manhattan,Owned by: 398 THIRD AVENUE REAL,"#2N - 398 Third Avenue
$2,350   3 rooms, 1 bed 1 bath",http://streeteasy.com/building/398-3-avenue-manhattan/2n,,,,
400 3RD AVE,400 Third Avenue,http://streeteasy.com/building/400-3-avenue-manhattan,Owned by: SENIOR LIVING OPTIONS,,,,,,
438 3RD AVE,438 Third Avenue,http://streeteasy.com/building/438-3-avenue-manhattan,Owned by: R & B PROPERTY LLC C/,,,,,,
441 3RD AVE,441 Third Avenue,http://streeteasy.com/building/441-3-avenue-new_york,Manager: New Park Management,,,,,,
442 3RD AVE,442 Third Avenue,http://streeteasy.com/other_property/442-3-avenue-brooklyn,Owned by: 424 3RD AVE COLLISION,,,,,,
443 3RD AVE,443 Third Avenue,http://streeteasy.com/building/443-3-avenue-brooklyn,Owned by: 443 3RD AVE REALTY CO,,,,,,
444 3RD AVE,444 Third Avenue,http://streeteasy.com/building/444-3-avenue-brooklyn,Owned by: MARINO MAZZEI,,,,,,
497 3RD AVE,497 Third Avenue,http://streeteasy.com/building/497-3-avenue-brooklyn,"Owned by: CALIXTO, ADELO",,,,,,
509 3RD AVE,509 Third Avenue,http://streeteasy.com/building/509-3-avenue-manhattan,"Owned by: 507 THIRD OWNER, LLC",,,,,,
510 3RD AVE,510 Third Avenue,http://streeteasy.com/other_property/510-3-avenue-brooklyn,Owned by: 510 THIRD AVENUE LLC,,,,,,
511 3RD AVE,111 Third Avenue,http://streeteasy.com/building/111-3-avenue-new_york," ","#9BC - 111 3rd Avenue
$1,695,000   IN CONTRACT 3 beds 2 baths 1,300 ft²",http://streeteasy.com/building/111-3-avenue-new_york/9bc,"#5FG - 111 Third Avenue
$5,695   5 rooms, 2 beds 2 baths 1,200 ft²",http://streeteasy.com/building/111-3-avenue-new_york/5fg,,
517 3RD AVE,517 Third Avenue,http://streeteasy.com/building/517-3-avenue-brooklyn,Owned by: 517 REALTY LLC,"#3 - 517 Third Avenue
$2,300   4 rooms, 2 beds 1 bath",http://streeteasy.com/building/517-3-avenue-brooklyn/3,,,,
533 3RD AVE,533 Third Avenue,http://streeteasy.com/building/533-3-avenue-manhattan,"Owned by: THIRD CHRIS, L.P.",,,,,,
535 3RD AVE,535 Third Avenue,http://streeteasy.com/building/535-3-avenue-manhattan,"Owned by: 535 THIRD REALTY, LLC","#3D - 535 Third Avenue
$2,195  IN CONTRACT 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/535-3-avenue-manhattan/3d,,,,
