OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
401 E 34TH ST,View 34,http://streeteasy.com/building/view-34,Owned by: UDR RIVERGATE LLC,6522,"#S20C - 401 East 34th Street
$6,522  NO FEE 5 rooms, 3 beds 2 baths 1,290 ft²",http://streeteasy.com/building/view-34/s20c,6271,"#N11A - 401 East 34th Street
$6,271  NO FEE 5 rooms, 2 beds 2 baths 1,343 ft²",http://streeteasy.com/building/view-34/n11a,5999,"#S23G - 401 East 34th Street
$5,999  NO FEE 3 rooms, 1 bed 1 bath 740 ft²",http://streeteasy.com/building/view-34/s23g,5404,"#N10K - 401 East 34th Street
$5,404  NO FEE 4 rooms, 2 beds 2 baths 1,085 ft²",http://streeteasy.com/building/view-34/n10k
47 E 34TH ST,,http://streeteasy.com/building/47-east-34-street-manhattan,Owned by: 47 EAST 34TH STREET H,0,,,0,,,0,,,0,,
51 E 34TH ST,,http://streeteasy.com/building/51-east-34-street-new_york,Owned by: AUSTIN INTERNATIONALR,0,,,0,,,0,,,0,,
58 E 34TH ST,,http://streeteasy.com/building/58-east-34-street-manhattan,Owned by: J & T GLOBAL INC,0,,,0,,,0,,,0,,
60 E 34TH ST,,http://streeteasy.com/building/60-east-34-street-manhattan,Owned by: SIXTY EAST LLC,0,,,0,,,0,,,0,,
62 E 34TH ST,,http://streeteasy.com/building/62-east-34-street-new_york,,0,,,0,,,0,,,0,,
63 E 34TH ST,10 Park Avenue,http://streeteasy.com/building/10-park-avenue-new_york,Owned by: TEN PARK AVENUE TENAN,1450000,"#18K - 10 Park Avenue
$1,450,000   2 beds 2 baths",http://streeteasy.com/building/10-park-avenue-new_york/18k,875000,"#17L - 10 Park Avenue
$875,000   IN CONTRACT 1 bed 1 bath",http://streeteasy.com/building/10-park-avenue-new_york/17l,850000,"#5D - 10 Park Avenue
$850,000   IN CONTRACT 3.5 rooms, 1 bed 1 bath",http://streeteasy.com/building/10-park-avenue-new_york/5d,510000,"#6G - 10 Park Avenue
$510,000   IN CONTRACT studio 1 bath 500 ft²",http://streeteasy.com/building/10-park-avenue-new_york/6g
64 E 34TH ST,,http://streeteasy.com/building/64-east-34-street-manhattan,"Owned by: PIRENO, ALEXANDER",0,,,0,,,0,,,0,,
1 E 35TH ST,,http://streeteasy.com/building/1-east-35-street-new_york,Owned by: THE 1 EAST 35TH STREE,0,,,0,,,0,,,0,,
2 E 35TH ST,35 Rear East 2nd Street,http://streeteasy.com/building/35-rear-east-2-street-brooklyn,,0,,,0,,,0,,,0,,
3 E 35TH ST,,http://streeteasy.com/building/1-east-35-street-new_york,Owned by: THE 1 EAST 35TH STREE,0,,,0,,,0,,,0,,
107 E 35TH ST,,http://streeteasy.com/building/107-east-35-street-manhattan,Owned by: CHESTNUT EQUITIES LLC,0,,,0,,,0,,,0,,
117 E 35TH ST,117 East 35th Street,http://streeteasy.com/building/117-east-35-street-brooklyn,Owned by: CONSTANCE STEWART,0,,,0,,,0,,,0,,
128 E 35TH ST,128 Garage East 35th Street,http://streeteasy.com/building/128-garage-east-35-street-brooklyn,,0,,,0,,,0,,,0,,
130 E 35TH ST,130 East 35th Street,http://streeteasy.com/building/130-east-35-street-manhattan,"Owned by: EL CHAAR, EGDARD",0,,,0,,,0,,,0,,
131 E 35TH ST,131 East 35th Street,http://streeteasy.com/building/131-east-35-street-brooklyn,"Owned by: DUNCAN, SANDRA",0,,,0,,,0,,,0,,
132 E 35TH ST,132 East 35th Street,http://streeteasy.com/building/132-east-35-street-brooklyn,Owned by: ALETHA MCDONALD,0,,,0,,,0,,,0,,
133 E 35TH ST,,http://streeteasy.com/building/133-east-35-street-manhattan,Owned by: L62/77 REALTY LLC,0,,,0,,,0,,,0,,
135 E 35TH ST,135 East 35th Street,http://streeteasy.com/building/135-east-35-street-brooklyn,"Owned by: KNOTT, DIANNE",0,,,0,,,0,,,0,,
139 E 35TH ST,139 East 35th Street,http://streeteasy.com/building/139-east-35-street-brooklyn,"Owned by: FOWLER, CARMENS SMITH",0,,,0,,,0,,,0,,
145 E 35TH ST,,http://streeteasy.com/building/145-east-35-street-new_york,"Owned by: JONIS REALTY,",0,,,0,,,0,,,0,,
146 E 35TH ST,146 East 35th Street,http://streeteasy.com/building/146-east-35-street-brooklyn,"Owned by: MILLINGTON, FRANCIS",0,,,0,,,0,,,0,,
152 E 35TH ST,152 East 35th Street,http://streeteasy.com/building/152-east-35-street-brooklyn,Owned by: SHANE WILLIAMSON,0,,,0,,,0,,,0,,
165 E 35TH ST,,http://streeteasy.com/building/165-east-35-street-new_york,"Owned by: 165 EAST 35TH STREET,",3900,"#3A - 165 East 35th
$3,900   4 rooms, 2 beds 1 bath",http://streeteasy.com/building/165-east-35-street-new_york/3a,0,,,0,,,0,,
