OriginalAddress,ChosenAddress,Url,Owner,AveragePricingInfo,ActiveListingsUrl,PastSalesUrl,PastRentalUrl,UnitsAvaliableRightNow
39 E 60TH ST Manhattan,,http://streeteasy.com/building/39-east-60-street-manhattan,Owned by: 33-39 EAST 60TH STRE,,,/nyc/property_activity/past_transactions_component/851710?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851710?hide_header=true&show_rentals=true,0
665 LEXINGTON AVE Manhattan,,http://streeteasy.com/building/665-lexington-avenue-manhattan,Owned by: SARAJON REALTY CORP,"2 previous rentals ($2,700 avg price)",,/nyc/property_activity/past_transactions_component/844531?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844531?hide_header=true&show_rentals=true,0
502 PARK AVE Manhattan,Trump Park Avenue,http://streeteasy.com/building/trump-park-avenue,Owned by: TRUMP PARK AVENUE CON,"Sales Listings 12 active sales ($2,704 per ft² avg, $3,212,365 avg price)",,/nyc/property_activity/past_transactions_component/851693?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851693?hide_header=true&show_rentals=true,23
865 1ST  Manhattan,,http://streeteasy.com/building/865-un-plaza,Owned by: 865 FIRST LLC C/O SAM,"Sales Listings 3 active sales ($1,170 per ft² avg, $1,115,000 avg price)",,/nyc/property_activity/past_transactions_component/848689?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/848689?hide_header=true&show_rentals=true,6
763 2ND  Manhattan,,http://streeteasy.com/building/763-2-avenue-manhattan,Owned by: PRIME PROPERTY HOLDIN,"Rentals Listings 1 active rental ($64 per ft² avg, $6,350 avg price)",,/nyc/property_activity/past_transactions_component/845306?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/845306?hide_header=true&show_rentals=true,2
764 2ND  Manhattan,,http://streeteasy.com/building/766-2-avenue-manhattan,"Owned by: TWIN DEVELOPMENT,",,,/nyc/property_activity/past_transactions_component/847736?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847736?hide_header=true&show_rentals=true,0
765 2ND  Manhattan,,http://streeteasy.com/building/763-2-avenue-manhattan,Owned by: PRIME PROPERTY HOLDIN,"Rentals Listings 1 active rental ($64 per ft² avg, $6,350 avg price)",,/nyc/property_activity/past_transactions_component/845306?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/845306?hide_header=true&show_rentals=true,2
686 3RD  Manhattan,,http://streeteasy.com/building/686-3-avenue-manhattan,"Owned by: SG THIRD AVENUE, LLC",,,/nyc/property_activity/past_transactions_component/843968?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/843968?hide_header=true&show_rentals=true,0
687 3RD  Manhattan,,http://streeteasy.com/building/685-3-avenue-manhattan,Owned by: T-C 685 THIRD AVENUE,,,/nyc/property_activity/past_transactions_component/845747?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/845747?hide_header=true&show_rentals=true,0
688 3RD  Manhattan,,http://streeteasy.com/building/686-3-avenue-manhattan,"Owned by: SG THIRD AVENUE, LLC",,,/nyc/property_activity/past_transactions_component/843968?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/843968?hide_header=true&show_rentals=true,0
690 3RD  Manhattan,,http://streeteasy.com/building/690-3-avenue-manhattan,"Owned by: SG THIRD AVENUE, LLC",,,/nyc/property_activity/past_transactions_component/843969?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/843969?hide_header=true&show_rentals=true,0
304 E 41ST  Manhattan,,http://streeteasy.com/building/304-east-41-street-new_york,,"Sales Listings 1 active sale ($305,000 avg price)",,/nyc/property_activity/past_transactions_component/8297066?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8297066?hide_header=true&show_rentals=true,4
318 E 41ST  Manhattan,,http://streeteasy.com/building/324-east-41-street-new_york,,"Sales Listings 2 active sales ($894 per ft² avg, $961,500 avg price)",,/nyc/property_activity/past_transactions_component/8297067?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8297067?hide_header=true&show_rentals=true,3
