OriginalAddress,ChosenAddress,Url,Owner,AveragePricingInfo,ActiveListingsUrl,PastSalesUrl,PastRentalUrl,UnitsAvaliableRightNow
153 E 43RD  Manhattan,,http://streeteasy.com/building/684-3-avenue-manhattan,Owned by: FOX 684 REALTY,"40 previous rentals ($49 per ft² avg, $1,739 avg price)",,/nyc/property_activity/past_transactions_component/843967?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/843967?hide_header=true&show_rentals=true,0
315 E 43RD  Manhattan,,http://streeteasy.com/building/the-cloister,Owned by: CLOISTER OWNERS CORP,"Sales Listings 8 active sales ($650 per ft² avg, $736,125 avg price)",,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_rentals=true,11
316 E 43RD  Manhattan,,http://streeteasy.com/building/309-east-42-street-new_york,Owned by: FORD FOUNDATION,"1 previous rental ($72 per ft² avg, $2,395 avg price)",,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_rentals=true,0
317 E 43RD  Manhattan,,http://streeteasy.com/building/the-cloister,Owned by: CLOISTER OWNERS CORP,"Sales Listings 8 active sales ($650 per ft² avg, $736,125 avg price)",,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_rentals=true,11
318 E 43RD  Manhattan,,http://streeteasy.com/building/309-east-42-street-new_york,Owned by: FORD FOUNDATION,"1 previous rental ($72 per ft² avg, $2,395 avg price)",,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_rentals=true,0
319 E 43RD  Manhattan,,http://streeteasy.com/building/the-cloister,Owned by: CLOISTER OWNERS CORP,"Sales Listings 8 active sales ($650 per ft² avg, $736,125 avg price)",,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_rentals=true,11
320 E 43RD  Manhattan,,http://streeteasy.com/building/309-east-42-street-new_york,Owned by: FORD FOUNDATION,"1 previous rental ($72 per ft² avg, $2,395 avg price)",,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_rentals=true,0
321 E 43RD  Manhattan,,http://streeteasy.com/building/the-cloister,Owned by: CLOISTER OWNERS CORP,"Sales Listings 8 active sales ($650 per ft² avg, $736,125 avg price)",,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_rentals=true,11
322 E 43RD  Manhattan,,http://streeteasy.com/building/309-east-42-street-new_york,Owned by: FORD FOUNDATION,"1 previous rental ($72 per ft² avg, $2,395 avg price)",,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/7953040?hide_header=true&show_rentals=true,0
323 E 43RD  Manhattan,,http://streeteasy.com/building/the-cloister,Owned by: CLOISTER OWNERS CORP,"Sales Listings 8 active sales ($650 per ft² avg, $736,125 avg price)",,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847773?hide_header=true&show_rentals=true,11
328 E 43RD  Manhattan,,http://streeteasy.com/building/330-east-43-street-manhattan,Owned by: 330 E 43RD ST. LLC,"Rentals Listings 1 active rental ($1,850 avg price)",,/nyc/property_activity/past_transactions_component/847753?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847753?hide_header=true&show_rentals=true,2
329 E 43RD  Manhattan,,http://streeteasy.com/building/the-manor,Owned by: 333 EAST 43RD OWNERS,"Sales Listings 7 active sales ($693 per ft² avg, $549,857 avg price)",,/nyc/property_activity/past_transactions_component/847774?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847774?hide_header=true&show_rentals=true,11
330 E 43RD  Manhattan,,http://streeteasy.com/building/330-east-43-street-manhattan,Owned by: 330 E 43RD ST. LLC,"Rentals Listings 1 active rental ($1,850 avg price)",,/nyc/property_activity/past_transactions_component/847753?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847753?hide_header=true&show_rentals=true,2
331 E 43RD  Manhattan,,http://streeteasy.com/building/the-manor,Owned by: 333 EAST 43RD OWNERS,"Sales Listings 7 active sales ($693 per ft² avg, $549,857 avg price)",,/nyc/property_activity/past_transactions_component/847774?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847774?hide_header=true&show_rentals=true,11
332 E 43RD  Manhattan,,http://streeteasy.com/building/330-east-43-street-manhattan,Owned by: 330 E 43RD ST. LLC,"Rentals Listings 1 active rental ($1,850 avg price)",,/nyc/property_activity/past_transactions_component/847753?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/847753?hide_header=true&show_rentals=true,2
