OriginalAddress,ChosenAddress,Url,Owner,AveragePricingInfo,ActiveListingsUrl,PastSalesUrl,PastRentalUrl,UnitsAvaliableRightNow
336 E 55TH  Manhattan,,http://streeteasy.com/building/336-east-55-street-new_york,Owned by: MARIA SACCHETTI,"Rentals Listings 1 active rental ($3,208 avg price)",,/nyc/property_activity/past_transactions_component/8610532?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8610532?hide_header=true&show_rentals=true,2
340 E 55TH  Manhattan,340 East 55th Street,http://streeteasy.com/building/340-east-55-street-new_york,Owned by: 340 EAST 55 REALTY LL,"Rentals Listings 3 active rentals ($3,448 avg price)",,/nyc/property_activity/past_transactions_component/849949?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849949?hide_header=true&show_rentals=true,4
342 E 55TH  Manhattan,,http://streeteasy.com/building/342-east-55-street-new_york,Owned by: SM 342E55 TIC 2 LLC,"Rentals Listings 4 active rentals ($2,775 avg price)",,/nyc/property_activity/past_transactions_component/849948?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849948?hide_header=true&show_rentals=true,5
344 E 55TH  Manhattan,344 East 55th Street,http://streeteasy.com/building/344-east-55-street-new_york,Owned by: 344 EAST 55 REALTY LL,"58 previous rentals ($2,800 avg price)",,/nyc/property_activity/past_transactions_component/849947?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849947?hide_header=true&show_rentals=true,0
352 E 55TH  Manhattan,,http://streeteasy.com/building/352-east-55-street-new_york,"Owned by: 352E55RS, LLC","7 previous sales ($933 per ft² avg, $4,478,571 avg price)",,/nyc/property_activity/past_transactions_component/8693622?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8693622?hide_header=true&show_rentals=true,0
360 E 55TH  Manhattan,,http://streeteasy.com/building/360-east-55th-street-new_york,Owned by: 360 EAST 55TH STREET,"Rentals Listings 3 active rentals ($3,466 avg price)",,/nyc/property_activity/past_transactions_component/849945?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/849945?hide_header=true&show_rentals=true,4
400 E 55TH  Manhattan,,http://streeteasy.com/building/994-1-avenue-manhattan,Owned by: 400 EAST 55TH ST ASSO,"3 previous rentals ($56 per ft² avg, $2,605 avg price)",,/nyc/property_activity/past_transactions_component/850852?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/850852?hide_header=true&show_rentals=true,0
412 E 55TH  Manhattan,,http://streeteasy.com/building/412-east-55-street-new_york,"Owned by: GOLDMAN, DAVID","81 previous rentals ($51 per ft² avg, $3,652 avg price)",,/nyc/property_activity/past_transactions_component/8742333?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8742333?hide_header=true&show_rentals=true,0
420 E 55TH  Manhattan,,http://streeteasy.com/building/420-east-55-street-new_york,"Owned by: SEICHI TATEYAMA, BEAU","Sales Listings 10 active sales ($927 per ft² avg, $1,053,340 avg price)",,/nyc/property_activity/past_transactions_component/8566798?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/8566798?hide_header=true&show_rentals=true,15
136 E 56TH  Manhattan,,http://streeteasy.com/building/136-east-56-street-new_york,,"Sales Listings 3 active sales ($856 per ft² avg, $692,000 avg price)",,/nyc/property_activity/past_transactions_component/844546?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844546?hide_header=true&show_rentals=true,7
140 E 56TH  Manhattan,,http://streeteasy.com/building/140-east-56-street-new_york,Owned by: 140 E 56TH ST CONDO,"Sales Listings 1 active sale ($1,215 per ft² avg, $1,580,000 avg price)",,/nyc/property_activity/past_transactions_component/844645?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844645?hide_header=true&show_rentals=true,10
141 E 56TH  Manhattan,,http://streeteasy.com/building/141-east-56-street-new_york,Owned by: NEW 56-79 IG ASSOCIAT,"Rentals Listings 5 active rentals ($54 per ft² avg, $3,880 avg price)",,/nyc/property_activity/past_transactions_component/844900?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844900?hide_header=true&show_rentals=true,6
142 E 56TH  Manhattan,,http://streeteasy.com/building/140-east-56-street-new_york,Owned by: 140 E 56TH ST CONDO,"Sales Listings 1 active sale ($1,215 per ft² avg, $1,580,000 avg price)",,/nyc/property_activity/past_transactions_component/844645?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844645?hide_header=true&show_rentals=true,10
143 E 56TH  Manhattan,,http://streeteasy.com/building/141-east-56-street-new_york,Owned by: NEW 56-79 IG ASSOCIAT,"Rentals Listings 5 active rentals ($54 per ft² avg, $3,880 avg price)",,/nyc/property_activity/past_transactions_component/844900?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844900?hide_header=true&show_rentals=true,6
144 E 56TH  Manhattan,,http://streeteasy.com/building/140-east-56-street-new_york,Owned by: 140 E 56TH ST CONDO,"Sales Listings 1 active sale ($1,215 per ft² avg, $1,580,000 avg price)",,/nyc/property_activity/past_transactions_component/844645?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844645?hide_header=true&show_rentals=true,10
145 E 56TH  Manhattan,,http://streeteasy.com/building/141-east-56-street-new_york,Owned by: NEW 56-79 IG ASSOCIAT,"Rentals Listings 5 active rentals ($54 per ft² avg, $3,880 avg price)",,/nyc/property_activity/past_transactions_component/844900?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/844900?hide_header=true&show_rentals=true,6
