OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
343 E 30TH ST,,http://streeteasy.com/building/kips-bay-towers-343-east-30-street-new_york,,539460,"#14G - 343 East 30th Street
$539,460   IN CONTRACT 2 rooms, studio 1 bath 487 ft²",http://streeteasy.com/building/kips-bay-towers-343-east-30-street-new_york/14g,7800,"#15M - 343 East 30th Street

Open House: Sat, May 6 (12:00 PM - 1:30 PM, by appt. only)   ADD TO PLANNER $7,800   6 rooms, 4 beds 2 baths 1,300 ft²",http://streeteasy.com/building/kips-bay-towers-343-east-30-street-new_york/15m,2500,"#18G - 343 East 30th Street
$2,500   2 rooms, studio 1 bath",http://streeteasy.com/building/kips-bay-towers-343-east-30-street-new_york/18g,2350,"#4X - 343 East 30th Street
$2,350   2.5 rooms, studio 1 bath 475 ft²",http://streeteasy.com/building/kips-bay-towers-343-east-30-street-new_york/4x
336 E 30TH ST,,http://streeteasy.com/building/336-east-30-street-new_york,Owned by: 336 EAST 30TH STREET,0,,,0,,,0,,,0,,
35 E 30TH ST,,http://streeteasy.com/building/35-east-30-street-new_york,Owned by: 35 EAST TENANTS CORP,0,,,0,,,0,,,0,,
41 E 30TH ST,,http://streeteasy.com/building/41-east-30-street-manhattan,Owned by: IGOR REALTY INC,0,,,0,,,0,,,0,,
100 E 31ST ST,100 Garage East 31st Street,http://streeteasy.com/building/100-garage-east-31-street-brooklyn,,0,,,0,,,0,,,0,,
102 E 31ST ST,102 East 31st Street,http://streeteasy.com/building/102-east-31-street-manhattan,"Owned by: 102 EAST 31ST STREET,",0,,,0,,,0,,,0,,
111 E 31ST ST,,http://streeteasy.com/building/111-east-31-street-manhattan,Owned by: OY & Z LLC,3250,"#7E - 111 East 31st Street
$3,250   3 rooms, 1 bed 1 bath",http://streeteasy.com/building/111-east-31-street-manhattan/7e,2475,"#9G - 111 East 31st Street
$2,475   2 rooms 1 bath",http://streeteasy.com/building/111-east-31-street-manhattan/9g,0,,,0,,
113 E 31ST ST,113 East 31st Street,http://streeteasy.com/building/113-east-31-street-new_york,"Owned by: Harlington Realty Co., LLC",0,,,0,,,0,,,0,,
116 E 31ST ST,116 East 31st Street,http://streeteasy.com/building/116-east-31-street-manhattan,Owned by: 116 E. 31ST STREET RE,3600,"#4F - 116 East 31st Street
$3,600   3 beds 1 bath",http://streeteasy.com/building/116-east-31-street-manhattan/4f,2700,"#3R - 116 East 31st
$2,700   2 beds 1 bath",http://streeteasy.com/building/116-east-31-street-manhattan/3r,0,,,0,,
118 E 31ST ST,,http://streeteasy.com/building/118-east-31-street-manhattan,Owned by: 116 E. 31ST STREET RE,3850,"#3R - 118 East 31st
$3,850   3 beds 1 bath",http://streeteasy.com/building/118-east-31-street-manhattan/3r,0,,,0,,,0,,
12 E 31ST ST,31 East 12th Street,http://streeteasy.com/building/31-east-12-street-new_york,Owned by: 31 E 12 ST OWNERS INC,4350,"#5A - 31 East 12th Street
$4,350   3 rooms, 1 bed 1 bath",http://streeteasy.com/building/31-east-12-street-new_york/5a,2700,"#1G - 31 East 12th Street
$2,700   NO FEE 2 rooms, studio 1 bath",http://streeteasy.com/building/31-east-12-street-new_york/1g,0,,,0,,
120 E 31ST ST,120 East 31st Street,http://streeteasy.com/building/120-east-31-street-brooklyn,"Owned by: WONG, MIWAH",0,,,0,,,0,,,0,,
121 E 31ST ST,121 East 31st Street,http://streeteasy.com/building/121-east-31-street-brooklyn,Owned by: CLAUDETTE PHILIP,0,,,0,,,0,,,0,,
127 E 31ST ST,127 East 31st Street,http://streeteasy.com/building/127-east-31-street-manhattan,Owned by: 127-129 EAST 31ST STR,0,,,0,,,0,,,0,,
138 E 31ST ST,138 East 31st Street,http://streeteasy.com/building/138-east-31-street-new_york,"Owned by: 138-140, LLC",0,,,0,,,0,,,0,,
140 E 31ST ST,140 East 31st Street,http://streeteasy.com/building/140-east-31-street-brooklyn,"Owned by: MORRISON, DELSIE",0,,,0,,,0,,,0,,
15 E 31ST ST,15 East 31st Street,http://streeteasy.com/building/15-east-31-street-brooklyn,"Owned by: BRYAN, PAMELA",0,,,0,,,0,,,0,,
208 E 31ST ST,208 East 31st Street,http://streeteasy.com/building/208-east-31-street-brooklyn,Owned by: HOWARD SWAN,0,,,0,,,0,,,0,,
210 E 31ST ST,210 East 31st Street,http://streeteasy.com/building/210-east-31-street-manhattan,Owned by: 208-210 E 31 REALTY,0,,,0,,,0,,,0,,
211 E 31ST ST,211 East 31st Street,http://streeteasy.com/building/211-east-31-street-brooklyn,"Owned by: PASSLEY, LOUISE",0,,,0,,,0,,,0,,
212 E 31ST ST,,http://streeteasy.com/building/212-east-31-street-manhattan,"Owned by: 212 EAST 31ST STREET,",0,,,0,,,0,,,0,,
213 E 31ST ST,,http://streeteasy.com/building/213-east-31-street-new_york,,0,,,0,,,0,,,0,,
245 E 31ST ST,245 East 31st Street,http://streeteasy.com/building/245-east-31-street-manhattan,Owned by: NINA ESTATES INC,0,,,0,,,0,,,0,,
247 E 31ST ST,247 Rear B East 31st Street,http://streeteasy.com/building/247-rear-b-east-31-street-new_york,,0,,,0,,,0,,,0,,
31 E 31ST ST,31 East 31st Street,http://streeteasy.com/building/31-east-31-street-new_york,,4200,"#5A - 31 E 31st Street

Open House: Thu, May 4 (5:00 PM - 7:00 PM)   ADD TO PLANNER $4,200   NO FEE 1 bed 1 bath",http://streeteasy.com/building/31-east-31-street-new_york/5a,3623,"#12C - 31 E 31st Street

Open House: Thu, May 4 (5:00 PM - 7:00 PM)   ADD TO PLANNER $3,623   NO FEE studio 1 bath",http://streeteasy.com/building/31-east-31-street-new_york/12c,3438,"#4C - 31 E 31st Street

Open House: Thu, May 4 (5:00 PM - 7:00 PM)   ADD TO PLANNER $3,438   NO FEE studio 1 bath",http://streeteasy.com/building/31-east-31-street-new_york/4c,0,,
11 E 32ND ST,11 East 32nd Street,http://streeteasy.com/building/11-east-32-street-brooklyn,,0,,,0,,,0,,,0,,
12 E 32ND ST,12 East 32nd Street,http://streeteasy.com/building/12-east-32-street-new_york,Owned by: HOLE IN ONE ASSOCIATE,0,,,0,,,0,,,0,,
13 E 32ND ST,,http://streeteasy.com/building/11-east-32-street-manhattan,Owned by: 11-13 E 32 ST HSG COR,2500,"#4B - 11 East 32nd Street
$2,500  3 rooms, 1 bed 1 bath",http://streeteasy.com/building/11-east-32-street-manhattan/4b,2450,"#3C - 11 East 32nd Street
$2,450   1 bed 1 bath",http://streeteasy.com/building/11-east-32-street-manhattan/3c,0,,,0,,
204 E 32ND ST,204 Garage East 32nd Street,http://streeteasy.com/building/204-garage-east-32-street-brooklyn,,0,,,0,,,0,,,0,,
206 E 32ND ST,,http://streeteasy.com/building/206-east-32-street-manhattan,Owned by: 206 E 32ND ST ASSOC,0,,,0,,,0,,,0,,
214 E 32ND ST,214 East 32nd Street,http://streeteasy.com/building/214-east-32-street-brooklyn,"Owned by: INCE, JAMES ST. LOUIS",0,,,0,,,0,,,0,,
219 E 32ND ST,,http://streeteasy.com/building/219-east-32-street-manhattan,Owned by: ABART HOLDINGS,0,,,0,,,0,,,0,,
220 E 32ND ST,,http://streeteasy.com/building/220-east-32-street-manhattan,"Owned by: O''HARA, STEPHEN",0,,,0,,,0,,,0,,
221 E 32ND ST,,http://streeteasy.com/building/221-east-32-street-manhattan,Owned by: ABART HOLDINGS,0,,,0,,,0,,,0,,
223 E 32ND ST,,http://streeteasy.com/building/223-east-32-street-manhattan,Owned by: ABART HOLDINGS,2450,"#2C - 223 East 32nd
$2,450  3 rooms, 2 beds 1 bath",http://streeteasy.com/building/223-east-32-street-manhattan/2c,0,,,0,,,0,,
230 E 32ND ST,230 East 32nd Street,http://streeteasy.com/building/230-east-32-street-brooklyn,"Owned by: JOSEPH, JOAN M",0,,,0,,,0,,,0,,
233 E 32ND ST,233 East 32nd Street,http://streeteasy.com/building/233-east-32-street-new_york,Owned by: 32 REALTY LLC,0,,,0,,,0,,,0,,
234 E 32ND ST,234 East 32nd Street,http://streeteasy.com/building/234-east-32-street-brooklyn,Owned by: WALFORD HERBERT,0,,,0,,,0,,,0,,
240 E 32ND ST,240 East 32nd Street,http://streeteasy.com/building/240-east-32-street-new_york,Owned by: 240 E 32ND ST OWNERS,0,,,0,,,0,,,0,,
248 E 32ND ST,248 East 32nd Street,http://streeteasy.com/building/248-east-32-street-brooklyn,Owned by: JEREMIAH SIMPSON,0,,,0,,,0,,,0,,
251 E 32ND ST,,http://streeteasy.com/building/251-east-32-street-new_york,Owned by: RIVERVIEW EAST OWNERS,0,,,0,,,0,,,0,,
7 E 32ND ST,7 East 32nd Street,http://streeteasy.com/building/7-east-32-street-new_york,Owned by: 7-9 E. 32 LLC,4800,"#9D - 7-9 East 32nd Street
$4,800   NO FEE 5 rooms, 3 beds 2 baths 1,200 ft²",http://streeteasy.com/building/7-east-32-street-new_york/9d,4750,"#9C - 7-9 East 32nd Street
$4,750   NO FEE 5 rooms, 3 beds 1 bath",http://streeteasy.com/building/7-east-32-street-new_york/9c,2400,"#1A - 7 East 32nd Street
$2,400   NO FEE 2 rooms, studio 1 bath",http://streeteasy.com/building/7-east-32-street-new_york/1a,2400,"#1C - 7-9 East 32nd Street
$2,400   NO FEE 2 rooms, studio 1 bath",http://streeteasy.com/building/7-east-32-street-new_york/1c
8 E 32ND ST,8 East 132nd Street,http://streeteasy.com/building/8-east-132-street-new_york,,0,,,0,,,0,,,0,,
9 E 32ND ST,,http://streeteasy.com/building/9-air-rgts-east-32-street-new_york,,0,,,0,,,0,,,0,,
141 E 33RD ST,,http://streeteasy.com/building/stonehenge-33,Owned by: SP 141 E 33 LLC,4057,"#8C - 141 East 33rd Street
$4,057  NO FEE 1 bed 1 bath",http://streeteasy.com/building/stonehenge-33/008c,3277,"#8H - 141 East 33rd Street
$3,277   NO FEE studio 1 bath",http://streeteasy.com/building/stonehenge-33/008h,0,,,0,,
142 E 33RD ST,,http://streeteasy.com/building/142-east-33-street-manhattan,Owned by: 142 EAST 33RD ST RLTY,0,,,0,,,0,,,0,,
149 E 33RD ST,,http://streeteasy.com/building/149-east-33-street-manhattan,Owned by: 149 EAST 33RD STREET,0,,,0,,,0,,,0,,
159 E 33RD ST,,http://streeteasy.com/building/159-east-33-street-manhattan,Owned by: 157-159 EAST 33RD STR,0,,,0,,,0,,,0,,
162 E 33RD ST,,http://streeteasy.com/building/162-east-33-street-manhattan,Owned by: 162 E. 33 LLC,3100,"#2E - 162 E 33
$3,100   4 rooms, 2 beds 1 bath 900 ft²",http://streeteasy.com/building/162-east-33-street-manhattan/2e,0,,,0,,,0,,
164 E 33RD ST,,http://streeteasy.com/building/164-east-33rd-street-new_york,"Owned by: VAGELATOS REALTY, LLC",0,,,0,,,0,,,0,,
