OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
376 E 33RD ST,,http://streeteasy.com/search?utf8=%E2%9C%93&search=376%20E%2033RD%20ST,,0,,,0,,,0,,,0,,
377 E 33RD ST,,http://streeteasy.com/building/the-lanthian,Owned by: Verbena Road Holdings Affiliate,7000,"#21B - 377 East 33rd Street

Open House: Sat, May 6 (11:00 AM - 4:00 PM)   ADD TO PLANNER $7,000   NO FEE 4 rooms, 2 beds 2 baths 1,163 ft²",http://streeteasy.com/building/the-lanthian/21b,6215,"#12C - 377 East 33rd Street
$6,215  NO FEE 5 rooms, 3 beds 2 baths",http://streeteasy.com/building/the-lanthian/12c,5900,"#15L - 377 East 33rd Street

Open House: Thu, May 4 (4:00 PM - 7:00 PM)   ADD TO PLANNER $5,900   NO FEE 4 rooms, 2 beds 2 baths 1,155 ft²",http://streeteasy.com/building/the-lanthian/15l,5390,"#14J - 377 East 33rd Street

Open House: Fri, May 5 (11:00 AM - 4:00 PM)   ADD TO PLANNER $5,390   NO FEE 6 rooms, 2 beds 2 baths",http://streeteasy.com/building/the-lanthian/14j
115 E 34TH ST,The Murray Hill,http://streeteasy.com/building/the-murray-hill,Owned by: 34TH ST. SOUTH LLC,3595,"#20H - 115 East 34th Street
$3,595   NO FEE 2 rooms, 1 bed 1 bath",http://streeteasy.com/building/the-murray-hill/20h,3550,"#405 - 115 East 34th Street
$3,550   NO FEE 4 rooms, 1 bed 1 bath",http://streeteasy.com/building/the-murray-hill/405,3350,"#402 - 115 East 34th Street
$3,350  IN CONTRACT 2 rooms, 1 bed 1 bath",http://streeteasy.com/building/the-murray-hill/402,2750,"#13F - 115 East 34th Street
$2,750  NO FEE 1 room, studio 1 bath",http://streeteasy.com/building/the-murray-hill/13f
116 E 34TH ST,14 East 116th Street,http://streeteasy.com/building/14-east-116-street-manhattan,Owned by: LA CASA NUESTRA HDFC,0,,,0,,,0,,,0,,
117 E 34TH ST,,http://streeteasy.com/building/107-east-34-street-new_york,,0,,,0,,,0,,,0,,
118 E 34TH ST,,http://streeteasy.com/building/14-east-118-street-manhattan,Owned by: NAEEMAH S. GREEN,0,,,0,,,0,,,0,,
119 E 34TH ST,1019 East 14th Street,http://streeteasy.com/building/1019-east-14-street-brooklyn,Owned by: HERMAN LEVINE,0,,,0,,,0,,,0,,
120 E 34TH ST,,http://streeteasy.com/building/the-murray-park,Owned by: 120 EAST 34TH STREETC,3750,"#11A - 120 East 34th Street
$3,750  NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-murray-park/11a,3650,"#16K - 120 East 34th Street
$3,650  NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-murray-park/16k,3495,"#10K - 120 East 34th Street
$3,495  NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-murray-park/10k,2850,"#14N - 120 East 34th Street
$2,850   NO FEE studio 1 bath",http://streeteasy.com/building/the-murray-park/14n
121 E 34TH ST,1021 East 14th Street,http://streeteasy.com/building/1021-east-14-street-brooklyn,"Owned by: ABELOW, ISRAEL",0,,,0,,,0,,,0,,
122 E 34TH ST,,http://streeteasy.com/building/134-east-122-street-new_york,Owned by: 122ND STREET LLC,2600,"#9H - 114 East 122nd Street
$2,600   NO FEE 3 rooms, 2 beds 1 bath",http://streeteasy.com/building/134-east-122-street-new_york/rental/2003927,2600,"#9H - 114 East 122nd Street
$2,600   NO FEE 2 beds 1 bath",http://streeteasy.com/building/134-east-122-street-new_york/rental/1977069,0,,,0,,
