OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
167 E 33RD ST,,http://streeteasy.com/building/167-east-33-street-manhattan,Owned by: 167 E 33RD CORP,2350,"#3A - 167 East 33rd Street
$2,350  3 rooms, 1 bed 1 bath",http://streeteasy.com/building/167-east-33-street-manhattan/3a,0,,,0,,,0,,
18 E 33RD ST,,http://streeteasy.com/building/18-east-33-street-manhattan,Owned by: REALTY 18 LLC,0,,,0,,,0,,,0,,
200 E 33RD ST,,http://streeteasy.com/building/the-laurence-towers,Owned by: PLAZA REALTY INVESTOR,4295,"#4J - 200 East 33rd Street
$4,295  NO FEE 2 beds 1 bath, 1 half bath",http://streeteasy.com/building/the-laurence-towers/4j,3395,"#29F - 200 East 33rd Street
$3,395   NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-laurence-towers/29f,3295,"#6F - 200 East 33rd Street
$3,295   NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-laurence-towers/6f,3295,"#15H - 200 East 33rd Street
$3,295   NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-laurence-towers/15h
201 E 33RD ST,201 East 33rd Street,http://streeteasy.com/building/201-east-33rd-street-new_york,Owned by: 33RD STREET INVESTORS,0,,,0,,,0,,,0,,
205 E 33RD ST,,http://streeteasy.com/building/205-east-33-street-new_york,Owned by: 33RD STREET INVESTORS,0,,,0,,,0,,,0,,
207 E 33RD ST,,http://streeteasy.com/building/207-east-33-street-new_york,Owned by: 33RD STREET INVESTORS,3723,"#9D - 207 East 33rd Street
$3,723   NO FEE 4 rooms, 2 beds 1 bath",http://streeteasy.com/building/207-east-33-street-new_york/9d,0,,,0,,,0,,
208 E 33RD ST,,http://streeteasy.com/building/210-east-33-street-manhattan,Owned by: DCAS/DEPARTMENT OF ED,0,,,0,,,0,,,0,,
209 E 33RD ST,,http://streeteasy.com/building/207-east-33-street-new_york,Owned by: 33RD STREET INVESTORS,3723,"#9D - 207 East 33rd Street
$3,723   NO FEE 4 rooms, 2 beds 1 bath",http://streeteasy.com/building/207-east-33-street-new_york/9d,0,,,0,,,0,,
211 E 33RD ST,,http://streeteasy.com/building/211-east-33-street-new_york,Owned by: 33RD STREET INVESTORS,4583,"#51 - 211 East 33rd Street
$4,583   NO FEE 5 rooms, 3 beds 1 bath",http://streeteasy.com/building/211-east-33-street-new_york/51,0,,,0,,,0,,
217 E 33RD ST,,http://streeteasy.com/building/217-east-33-street-manhattan,Owned by: DENMARK 33RD,3325,"#5FW - 217 East 33rd Street
$3,325   5 rooms, 2 beds 1 bath",http://streeteasy.com/building/217-east-33-street-manhattan/5fw,0,,,0,,,0,,
221 E 33RD ST,,http://streeteasy.com/building/221-east-33-street-new_york,Owned by: 221-227 EAST 33RD STR,0,,,0,,,0,,,0,,
222 E 33RD ST,,http://streeteasy.com/building/210-east-33-street-manhattan,Owned by: DCAS/DEPARTMENT OF ED,0,,,0,,,0,,,0,,
223 E 33RD ST,,http://streeteasy.com/building/221-east-33-street-new_york,Owned by: 221-227 EAST 33RD STR,0,,,0,,,0,,,0,,
224 E 33RD ST,,http://streeteasy.com/building/210-east-33-street-manhattan,Owned by: DCAS/DEPARTMENT OF ED,0,,,0,,,0,,,0,,
225 E 33RD ST,,http://streeteasy.com/building/221-east-33-street-new_york,Owned by: 221-227 EAST 33RD STR,0,,,0,,,0,,,0,,
226 E 33RD ST,,http://streeteasy.com/building/210-east-33-street-manhattan,Owned by: DCAS/DEPARTMENT OF ED,0,,,0,,,0,,,0,,
227 E 33RD ST,,http://streeteasy.com/building/221-east-33-street-new_york,Owned by: 221-227 EAST 33RD STR,0,,,0,,,0,,,0,,
237 E 33RD ST,,http://streeteasy.com/building/237-east-33-street-manhattan,Owned by: 237/9 OWNERS LLC C/O,0,,,0,,,0,,,0,,
239 E 33RD ST,,http://streeteasy.com/building/239-east-33-street-manhattan,Owned by: 237/9 OWNERS LLC C/O,2399,"#3A - 239 East 33rd Street
$2,399  3.5 rooms, 2 beds 1 bath",http://streeteasy.com/building/239-east-33-street-manhattan/rental/2064964,2395,"#3A - 239 East 33rd Street
$2,395   3 rooms, 1 bed 1 bath",http://streeteasy.com/building/239-east-33-street-manhattan/rental/2061147,0,,,0,,
243 E 33RD ST,,http://streeteasy.com/building/243-east-33-street-new_york,Owned by: BOLANOS PROPERTIES LL,0,,,0,,,0,,,0,,
244 E 33RD ST,,http://streeteasy.com/building/244-east-33-street-manhattan,Owned by: BOLANOS PROPERTIES LL,0,,,0,,,0,,,0,,
247 E 33RD ST,,http://streeteasy.com/building/247-east-33-street-new_york,Owned by: BOLANOS PROPERTIES LL,2998,"#3C - 247 East 33rd Street
$2,998  4 rooms, 2 beds 1 bath",http://streeteasy.com/building/247-east-33-street-new_york/3c,0,,,0,,,0,,
252 E 33RD ST,,http://streeteasy.com/building/252-east-33-street-manhattan,Owned by: BIZLAND INC,2050,"#3F - 252 East 33rd Street
$2,050   2 rooms 1 bath",http://streeteasy.com/building/252-east-33-street-manhattan/rental/2013786,2040,"#3F - 252 East 33rd Street
$2,040   2.5 rooms, studio 1 bath",http://streeteasy.com/building/252-east-33-street-manhattan/rental/2015068,0,,,0,,
300 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york,,879000,"#7P - 300 East 33rd Street

Open House: Sun, May 7 (11:00 AM - 12:30 PM, by appt. only)   ADD TO PLANNER $879,000   3.5 rooms, 1 bed 1 bath 747 ft²",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/7p,795000,"#17A - 300 East 33rd Street
$795,000   IN CONTRACT 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/17a,3695,"#17L - 300 East 33rd Street
$3,695   3.5 rooms, 1 bed 1 bath 886 ft²",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/17l,3300,"#4K - 300 E 33rd Street
$3,300  IN CONTRACT 1 bed 1 bath 735 ft²",http://streeteasy.com/building/kips-bay-towers-300-east-33-street-new_york/4k
301 E 33RD ST,,http://streeteasy.com/building/301-east-33-street-new_york,,0,,,0,,,0,,,0,,
302 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
303 E 33RD ST,,http://streeteasy.com/building/303-east-33-street-new_york,,2075000,"#2D - 303 East 33rd Street
$2,075,000  4.5 rooms, 2 beds 2 baths 1,485 ft²",http://streeteasy.com/building/303-east-33-street-new_york/2d,1990000,"#8N - 303 East 33rd Street
$1,990,000  IN CONTRACT 4 rooms, 2 beds 2 baths 1,217 ft²",http://streeteasy.com/building/303-east-33-street-new_york/8n,1699000,"#3D - 303 East 33rd Street
$1,699,000  IN CONTRACT 5 rooms, 2 beds 2 baths 1,180 ft²",http://streeteasy.com/building/303-east-33-street-new_york/3d,1690000,"#11H - 303 East 33rd Street
$1,690,000   3 rooms, 1 bed 1 bath 935 ft²",http://streeteasy.com/building/303-east-33-street-new_york/11h
304 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
305 E 33RD ST,,http://streeteasy.com/building/303-and-a-half-east-33-street-new_york,Owned by: KTL 303 LLC,0,,,0,,,0,,,0,,
306 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
307 E 33RD ST,,http://streeteasy.com/building/303-and-a-half-east-33-street-new_york,Owned by: KTL 303 LLC,0,,,0,,,0,,,0,,
308 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
309 E 33RD ST,,http://streeteasy.com/building/303-and-a-half-east-33-street-new_york,Owned by: KTL 303 LLC,0,,,0,,,0,,,0,,
310 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
311 E 33RD ST,,http://streeteasy.com/building/303-and-a-half-east-33-street-new_york,Owned by: KTL 303 LLC,0,,,0,,,0,,,0,,
