OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
587 1ST AVE,,http://streeteasy.com/building/587-1-avenue-manhattan,Owned by: FIRST 34 REALTY LLC,2275,"#3R - 587 1st Avenue
$2,275  3 rooms, 1 bed 1 bath",http://streeteasy.com/building/587-1-avenue-manhattan/3r,0,,,0,,,0,,
589 1ST AVE,,http://streeteasy.com/building/589-1-avenue-manhattan,Owned by: FIRST KLP REALTY LLC,2400,"#3 - 589 First Avenue
$2,400   4 rooms, 1 bed 1 bath",http://streeteasy.com/building/589-1-avenue-manhattan/3,0,,,0,,,0,,
591 1ST AVE,,http://streeteasy.com/building/591-1-avenue-manhattan,Owned by: FIRST 34 REALTY LLC,0,,,0,,,0,,,0,,
489 2ND AVE,489 Second Avenue,http://streeteasy.com/building/489-2-avenue-manhattan,Owned by: 489 SECOND AVENUE LL,0,,,0,,,0,,,0,,
493 2ND AVE,493 Second Avenue,http://streeteasy.com/building/493-2-avenue-manhattan,Owned by: 493 2ND LLC,2995,"#11 - 493 2nd Avenue
$2,995   NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/493-2-avenue-manhattan/11,2995,"#17 - 493 2nd Avenue
$2,995   NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/493-2-avenue-manhattan/17,2945,"#1 - 493 2nd Avenue
$2,945   NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/493-2-avenue-manhattan/1,2895,"#14 - 493 2nd Avenue
$2,895   NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/493-2-avenue-manhattan/14
519 2ND AVE,519 Second Avenue,http://streeteasy.com/building/519-2-avenue-new_york,Owned by: 519 SHAMROCK ASSETS L,0,,,0,,,0,,,0,,
530 2ND AVE,,http://streeteasy.com/building/530-2-avenue-new_york,Owned by: 530 SECOND AVENUE CO.,2495,"#7A - 530 2nd Avenue
$2,495  NO FEE 1 bed 1 bath",http://streeteasy.com/building/530-2-avenue-new_york/7a,0,,,0,,,0,,
555 2ND AVE,,http://streeteasy.com/building/555-2-avenue-manhattan,Owned by: 5557 LLC,0,,,0,,,0,,,0,,
571 2ND AVE,,http://streeteasy.com/building/571-2-avenue-new_york,,2495,"#4D - 571 2nd Avenue
$2,495  NO FEE 1 bed 1 bath 800 ft²",http://streeteasy.com/building/571-2-avenue-new_york/4d,0,,,0,,,0,,
575 2ND AVE,,http://streeteasy.com/building/575-2-avenue-manhattan,Owned by: TAD 575 SECOND AVENUE,0,,,0,,,0,,,0,,
577 2ND AVE,,http://streeteasy.com/building/577-2-avenue-new_york,Owned by: ELIAS KALIMIAN AS TRU,6830,"#62 - 577 2nd Avenue
$6,830   NO FEE 7 rooms, 3 beds 2 baths, 1 half bath",http://streeteasy.com/building/577-2-avenue-new_york/62,4695,"#52 - 577 2nd Avenue
$4,695   NO FEE 5 rooms, 3 beds 1 bath",http://streeteasy.com/building/577-2-avenue-new_york/52,2395,"#42 - 577 2nd Avenue
$2,395   NO FEE 2 rooms, studio 1 bath",http://streeteasy.com/building/577-2-avenue-new_york/42,0,,
605 2ND AVE,,http://streeteasy.com/building/605-2-avenue-manhattan,Owned by: 203 E 94 STREET REALT,0,,,0,,,0,,,0,,
635 2ND AVE,635 Second Avenue,http://streeteasy.com/building/635-2-avenue-manhattan,Owned by: 635 SECOND AVE RLTY C,0,,,0,,,0,,,0,,
643 2ND AVE,643 Second Avenue,http://streeteasy.com/building/643-2-avenue-manhattan,Owned by: JRD REALTY CORP.,0,,,0,,,0,,,0,,
645 2ND AVE,645 Second Avenue,http://streeteasy.com/building/645-2-avenue-new_york,Owned by: JRD REALTY CORP.,0,,,0,,,0,,,0,,
647 2ND AVE,647 Second Avenue,http://streeteasy.com/building/647-2-avenue-new_york,Owned by: JRD REALTY CORP.,0,,,0,,,0,,,0,,
649 2ND AVE,649 Second Avenue,http://streeteasy.com/building/649-2-avenue-new_york,,395000,"#5A - 649 2nd Avenue
$395,000   IN CONTRACT studio 1 bath 400 ft²",http://streeteasy.com/building/649-2-avenue-new_york/5a,0,,,0,,,0,,
650 2ND AVE,650 1/2 Greene Avenue,http://streeteasy.com/other_property/650-and-a-half-greene-avenue-brooklyn,,0,,,0,,,0,,,0,,
651 2ND AVE,65 1/2 Roosevelt Avenue,http://streeteasy.com/building/65-and-a-half-roosevelt-avenue-staten_island,,0,,,0,,,0,,,0,,
652 2ND AVE,,http://streeteasy.com/building/652-2-avenue-brooklyn,,0,,,0,,,0,,,0,,
653 2ND AVE,151-153 Second Avenue,http://streeteasy.com/building/151_153-2-avenue-new_york,Owned by: 151-153 SECOND AVENUE,0,,,0,,,0,,,0,,
655 2ND AVE,655 Second Avenue,http://streeteasy.com/building/655-2-avenue-new_york,"Owned by: Harlington Realty Co., LLC",0,,,0,,,0,,,0,,
696 2ND AVE,,http://streeteasy.com/building/696-2-avenue-manhattan,Owned by: FOUR V B BROS INC,0,,,0,,,0,,,0,,
711 2ND AVE,,http://streeteasy.com/building/711-2-avenue-new_york,Owned by: EDEN ROC HOTEL LTD,0,,,0,,,0,,,0,,
718 2ND AVE,,http://streeteasy.com/building/718-2-avenue-manhattan,Owned by: OTR,0,,,0,,,0,,,0,,
719 2ND AVE,,http://streeteasy.com/building/timston-250-east-39-street-new_york,Owned by: TIMSTON CORP,0,,,0,,,0,,,0,,
720 2ND AVE,,http://streeteasy.com/building/720-2-avenue-new_york,,0,,,0,,,0,,,0,,
