OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
327 E 33RD ST,,http://streeteasy.com/building/325-east-33-street-manhattan,Owned by: THE CHURCH OF THE SCA,0,,,0,,,0,,,0,,
328 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
329 E 33RD ST,,http://streeteasy.com/building/325-east-33-street-manhattan,Owned by: THE CHURCH OF THE SCA,0,,,0,,,0,,,0,,
330 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
331 E 33RD ST,,http://streeteasy.com/building/331-east-33-street-new_york,Owned by: 331 EAST 33RD LLC,4450,"#2A - 331 E 33rd Street
$4,450   3 rooms, 2 beds 1 bath 750 ft²",http://streeteasy.com/building/331-east-33-street-new_york/2a,2575,"#5C - 331 East 33rd Street
$2,575  NO FEE 4 rooms, 1 bed 1 bath",http://streeteasy.com/building/331-east-33-street-new_york/rental/2027650,2575,"#5C - 331 East 33rd Street
$2,575  NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/331-east-33-street-new_york/rental/2059940,0,,
332 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
333 E 33RD ST,,http://streeteasy.com/building/333-east-33-street-manhattan,Owned by: BOLANOS PROPERTIES LL,0,,,0,,,0,,,0,,
334 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
335 E 33RD ST,,http://streeteasy.com/building/335-east-33-street-manhattan,Owned by: BOLANOS PROPERTIES LL,0,,,0,,,0,,,0,,
336 E 33RD ST,,http://streeteasy.com/building/kips-bay-towers,Owned by: THE KIPS BAY TOWERS C,999999,"#15L - 330 East 33rd Street
$999,999  3.5 rooms, 1 bed 1 bath 887 ft²",http://streeteasy.com/building/kips-bay-towers/15l,855000,"#16K - 330 East 33rd Street
$855,000   4 rooms, 1 bed 1 bath 741 ft²",http://streeteasy.com/building/kips-bay-towers/16k,499000,"#3F - 330 E 33rd Street
$499,000   IN CONTRACT studio 1 bath 420 ft²",http://streeteasy.com/building/kips-bay-towers/3f,3200,"#7A - 330 East 33rd Street
$3,200   3 rooms, 1 bed 1 bath 760 ft²",http://streeteasy.com/building/kips-bay-towers/7a
