OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
26 E 37TH ST,,http://streeteasy.com/building/30-east-37-street-new_york,Owned by: 30 EAST 37TH ST CONDO,1695000,"#7J - 30 East 37th Street
$1,695,000  4 rooms, 2 beds 2 baths 1,500 ft²",http://streeteasy.com/building/30-east-37-street-new_york/7j,2400,"#4C - 30 East 37th Street
$2,400   2 rooms, studio 1 bath",http://streeteasy.com/building/30-east-37-street-new_york/4c,0,,,0,,
27 E 37TH ST,,http://streeteasy.com/building/27-east-37-street-manhattan,Owned by: SENG & SON,6200,"#2 - 27 East 37th Street
$6,200   4 rooms, 2 beds 1 bath, 1 half bath 2,000 ft²",http://streeteasy.com/building/27-east-37-street-manhattan/2,0,,,0,,,0,,
28 E 37TH ST,,http://streeteasy.com/building/30-east-37-street-new_york,Owned by: 30 EAST 37TH ST CONDO,1695000,"#7J - 30 East 37th Street
$1,695,000  4 rooms, 2 beds 2 baths 1,500 ft²",http://streeteasy.com/building/30-east-37-street-new_york/7j,2400,"#4C - 30 East 37th Street
$2,400   2 rooms, studio 1 bath",http://streeteasy.com/building/30-east-37-street-new_york/4c,0,,,0,,
29 E 37TH ST,,http://streeteasy.com/building/29-east-37-street-new_york,Owned by: 29 EAST 37 STREET REA,0,,,0,,,0,,,0,,
30 E 37TH ST,,http://streeteasy.com/building/30-east-37-street-new_york,Owned by: 30 EAST 37TH ST CONDO,1695000,"#7J - 30 East 37th Street
$1,695,000  4 rooms, 2 beds 2 baths 1,500 ft²",http://streeteasy.com/building/30-east-37-street-new_york/7j,2400,"#4C - 30 East 37th Street
$2,400   2 rooms, studio 1 bath",http://streeteasy.com/building/30-east-37-street-new_york/4c,0,,,0,,
31 E 37TH ST,,http://streeteasy.com/building/50-park-avenue-new_york,Owned by: 31 E 37TH ST CORP,749000,"#8A - 50 Park Avenue
$749,000   3 rooms, 1 bed 1 bath 850 ft²",http://streeteasy.com/building/50-park-avenue-new_york/8a,650000,"#5E - 50 Park Avenue
$650,000   IN CONTRACT 2.5 rooms, studio 1 bath",http://streeteasy.com/building/50-park-avenue-new_york/5e,0,,,0,,
32 E 37TH ST,,http://streeteasy.com/building/30-east-37-street-new_york,Owned by: 30 EAST 37TH ST CONDO,1695000,"#7J - 30 East 37th Street
$1,695,000  4 rooms, 2 beds 2 baths 1,500 ft²",http://streeteasy.com/building/30-east-37-street-new_york/7j,2400,"#4C - 30 East 37th Street
$2,400   2 rooms, studio 1 bath",http://streeteasy.com/building/30-east-37-street-new_york/4c,0,,,0,,
29 E 37TH ST,,http://streeteasy.com/building/29-east-37-street-new_york,Owned by: 29 EAST 37 STREET REA,0,,,0,,,0,,,0,,
303 E 37TH ST,303 East 37th Street,http://streeteasy.com/building/303-east-37-street-brooklyn,Owned by: BERNARD S. KILKENNY,0,,,0,,,0,,,0,,
309 E 37TH ST,309 East 37th Street,http://streeteasy.com/building/309-east-37-street-brooklyn,"Owned by: DANIELS, BEVERLEY",0,,,0,,,0,,,0,,
310 E 37TH ST,,http://streeteasy.com/building/310-east-37-street-brooklyn,Owned by: JAMES WEEKES,0,,,0,,,0,,,0,,
311 E 37TH ST,311 East 37th Street,http://streeteasy.com/building/311-east-37-street-new_york,Owned by: MTA/TBTA,0,,,0,,,0,,,0,,
108 E 38TH ST,Towne House,http://streeteasy.com/building/towne-house,Owned by: 1 WEST 3RD STREET COR,3250,"#211 - 108 East 38th Street
$3,250   NO FEE 3 rooms, 1 bed 1 bath 495 ft²",http://streeteasy.com/building/towne-house/211,3250,"#311 - 108 East 38th Street
$3,250   NO FEE 2 rooms, 1 bed 1 bath 500 ft²",http://streeteasy.com/building/towne-house/311,0,,,0,,
111 E 38TH ST,,http://streeteasy.com/building/111-east-38-street-manhattan,Owned by: SHIZUOKA NAKAJIMAYA H,0,,,0,,,0,,,0,,
137 E 38TH ST,137 East 38th Street,http://streeteasy.com/building/137-east-38-street-new_york,Owned by: 137 EAST 38TH STREET,2950,"#5B - 137 East 38th
$2,950   3 rooms, studio 1 bath",http://streeteasy.com/building/137-east-38-street-new_york/5b,0,,,0,,,0,,
138 E 38TH ST,,http://streeteasy.com/building/138-east-38th-street-new_york,"Owned by: TATHAM HOUSE,",0,,,0,,,0,,,0,,
151 E 38TH ST,151 East 38th Street,http://streeteasy.com/building/151-east-38-street-new_york,Owned by: 151 EAST 38 STREET,0,,,0,,,0,,,0,,
155 E 38TH ST,,http://streeteasy.com/building/155-east-38-street-new_york,Owned by: THE 155 CONDOMINIUM,1485000,"#21G - 155 East 38th Street
$1,485,000  5 rooms, 2 beds 2 baths 1,173 ft²",http://streeteasy.com/building/155-east-38-street-new_york/21g,8995,"#181G - 155 East 38th Street
$8,995   IN CONTRACT 5 rooms, 2 beds 2 baths 1,400 ft²",http://streeteasy.com/building/155-east-38-street-new_york/181g,6000,"#3G - 155 East 38th Street
$6,000   5 rooms, 3 beds 2 baths",http://streeteasy.com/building/155-east-38-street-new_york/3g,4950,"#8G - 155 East 38th Street
$4,950   4.5 rooms, 2 beds 2 baths",http://streeteasy.com/building/155-east-38-street-new_york/8g
160 E 38TH ST,,http://streeteasy.com/building/160-east-38-street-new_york,Owned by: MURRAY HILL MEWS OWNE,1750000,"#32A - 160 East 38th Street
$1,750,000  5 rooms, 2 beds 2 baths, 1 half bath",http://streeteasy.com/building/160-east-38-street-new_york/32a,1699000,"#22E - 160 East 38th Street
$1,699,000   5 rooms, 2 beds 2 baths, 1 half bath",http://streeteasy.com/building/160-east-38-street-new_york/22e,1625000,"#24H - 160 East 38th Street
$1,625,000  IN CONTRACT 5 rooms, 2 beds 2 baths, 1 half bath 1,500 ft²",http://streeteasy.com/building/160-east-38-street-new_york/24h,1495000,"#2A - 160 East 38th Street
$1,495,000   IN CONTRACT 4.5 rooms, 2 beds 2 baths, 1 half bath",http://streeteasy.com/building/160-east-38-street-new_york/2a
201 E 38TH ST,201 Garage East 38th Street,http://streeteasy.com/building/201-garage-east-38-street-brooklyn,,0,,,0,,,0,,,0,,
202 E 38TH ST,202 East 38th Street,http://streeteasy.com/building/202-east-38-street-brooklyn,Owned by: ISOLA PALMER,0,,,0,,,0,,,0,,
203 E 38TH ST,203 Garage East 38th Street,http://streeteasy.com/building/203-garage-east-38-street-brooklyn,,0,,,0,,,0,,,0,,
210 E 38TH ST,210 East 38th Street,http://streeteasy.com/building/210-east-38-street-new_york,Owned by: DORAL ASSOCIATES LLC,3150,"#2A - 210 East 38th Street
$3,150   NO FEE 3 rooms, 2 beds 1 bath",http://streeteasy.com/building/210-east-38-street-new_york/2a,0,,,0,,,0,,
22 E 38TH ST,,http://streeteasy.com/building/241-madison-avenue-manhattan,Owned by: MANHATTAN HOSPITAL/ET,0,,,0,,,0,,,0,,
241 E 38TH ST,241 East 38th Street,http://streeteasy.com/building/241-east-38-street-new_york,Owned by: I93 LLC,0,,,0,,,0,,,0,,
243 E 38TH ST,,http://streeteasy.com/building/243-east-38-street-manhattan,Owned by: EDEN ROC HOTEL LTD,0,,,0,,,0,,,0,,
30 E 38TH ST,,http://streeteasy.com/building/28-east-38-street-manhattan,Owned by: SDK PROPERTY TWO LLC,0,,,0,,,0,,,0,,
300 E 38TH ST,300 East 38th Street,http://streeteasy.com/building/300-east-38-street-brooklyn,Owned by: DANNS BERTRAM,0,,,0,,,0,,,0,,
301 E 38TH ST,301 East 38th Street,http://streeteasy.com/building/301-east-38-street-brooklyn,Owned by: GONZALES WAYNE,0,,,0,,,0,,,0,,
302 E 38TH ST,302 East 38th Street,http://streeteasy.com/building/302-east-38-street-new_york,Owned by: PATRICIA LANGER EAST,0,,,0,,,0,,,0,,
304 E 38TH ST,304 East 38th Street,http://streeteasy.com/building/304-east-38-street-brooklyn,"Owned by: BROWN, DENISE",0,,,0,,,0,,,0,,
304 1/2 E 38TH ST,,http://streeteasy.com/building/304-and-a-half-east-38-street-new_york,,0,,,0,,,0,,,0,,
32 E 38TH ST,,http://streeteasy.com/building/32-east-38-street-manhattan,Owned by: CONGREGATION BNAI ABR,0,,,0,,,0,,,0,,
35 E 38TH ST,,http://streeteasy.com/building/35-east-38-street-new_york,Owned by: THE ELISABETH CONDO,998000,"#3C - 35 East 38th Street
$998,000   3 rooms, 1 bed 1 bath 774 ft²",http://streeteasy.com/building/35-east-38-street-new_york/3c,985000,"#4C - 35 East 38th Street
$985,000  3.5 rooms, 1 bed 1 bath 775 ft²",http://streeteasy.com/building/35-east-38-street-new_york/4c,899000,"#12E - 35 East 38th Street
$899,000   4 rooms, 2 beds 1 bath 736 ft²",http://streeteasy.com/building/35-east-38-street-new_york/12e,3995,"#12B - 35 East 38th Street
$3,995  3 rooms, 1 bed 1 bath",http://streeteasy.com/building/35-east-38-street-new_york/12b
36 E 38TH ST,,http://streeteasy.com/building/middleton-s-and-emilie-neilson-bur,Owned by: FAFNIR REALTY LLC,0,,,0,,,0,,,0,,
111 E 39TH ST,,http://streeteasy.com/building/111-east-39-street-manhattan,Owned by: DIRENZO REAL ESTATE M,0,,,0,,,0,,,0,,
113 E 39TH ST,,http://streeteasy.com/building/113-east-39-street-manhattan,"Owned by: 113 LEXINGTON REALTY,",0,,,0,,,0,,,0,,
114 E 39TH ST,,http://streeteasy.com/building/114-east-39-street-manhattan,Owned by: 114 EAST 39 OWNERS LL,2675,"#3C - 114 E 39
$2,675   1 bed 1 bath",http://streeteasy.com/building/114-east-39-street-manhattan/3c,0,,,0,,,0,,
115 E 39TH ST,115 East 39th Street,http://streeteasy.com/building/115-east-39-street-manhattan,"Owned by: JONES, MICHAEL E",0,,,0,,,0,,,0,,
123 E 39TH ST,123 East 39th Street,http://streeteasy.com/building/123-east-39-street-brooklyn,Owned by: SESSION SAMUEL L,0,,,0,,,0,,,0,,
126 E 39TH ST,126 East 39th Street,http://streeteasy.com/building/126-east-39-street-manhattan,Owned by: FAFNIR REALTY LLC,2250,"#3A - 126 East 39th Street
$2,250  NO FEE 3 rooms, 1 bed 1 bath",http://streeteasy.com/building/126-east-39-street-manhattan/3a,0,,,0,,,0,,
129 E 39TH ST,129 East 39th Street,http://streeteasy.com/building/129-east-39-street-brooklyn,Owned by: CARRINGTON ROOSEVELT,0,,,0,,,0,,,0,,
235 E 39TH ST,,http://streeteasy.com/building/235-east-39-street-manhattan,"Owned by: SLOW FLOW, LLC",0,,,0,,,0,,,0,,
